RT
7.79
6.55
13.3
7.29
6.15
8.3
13.82
6.9
10.75
6.97
13.34
1.67
2.26
2.62
5.31
7.83
7.58
7.95
1.27
7.28
8.12
1.88
10.14
8.21
8.15
12.75
9.23
12.53
13.06
5.99
6.21
6.83
12.71
7.76
9.35
13.82
12.41
7.59
6.56
3.69
8.41
7.07
12.9
1.86
8.3
5.42
5.8
6.91
9.11
8.41
11.86
6.87
8.62
6.81
7.49
8.67
6.91
12.06
1.56
10.14
5.96
1.97
6.9
12.14
8.13
7.56
8.33
12.64
5.31
5.99
7.13
1.72
12.23
11.65
4.89
11.43
1.26
9.96
8.19
7.14
8.07
13.01
5.53
5.95
13.1
7.22
6.81
7.47
11.21
6.29
7.09
8.67
2.77
6.72
8.33
12.33
6.42
7.37
9.17
9.68
7.42
7.31
10.63
8.13
8.02
7.43
5.91
1.59
9.32
8.07
12.86
12.98
8.61
8.11
7.46
7.9
3.2
7.8
7.57
12.78
13.4
1.82
1.5
1.79
13.5
8.42
9.12
9.44
2.1
12.38
11.52
8.08
8.09
8.69
9.5
7.65
13.87
8.91
7.6
11.76
8.12
12.42
12.47
8.68
8.41
7.09
7.19
2.05
9.67
1.91
6.33
7.25
7.72
6.67
6.48
13.81
9.7
4.95
5.98
9.41
11.86
8.67
7.47
6.55
6.5
8.34
9.01
4.83
8.51
6.51
7.84
12.68
7.01
12.37
7.06
8.72
6.8
6.09
1.55
9.54
9.91
7.36
8.46
9.49
7.34
6.96
3.8
10.57
3.07
7.95
6.15
12.7
7.55
4.32
8.35
6.72
1.62
1.54
6.74
7.68
7.67
7.22
12.68
12.51
7.44
10
7.99
6.46
7.44
7.31
2.31
12.7
9.1
7.5
12.5
12.61
5.44
12.65
13.5
8.66
5.9
5.67
6.54
12.55
12.24
7.57
11.16
10.08
5.56
11.31
12.34
8.12
1.49
1.88
6.73
7.17
6.89
12.33
6.25
8.5
9.47
8.39
6.53
8.65
11.96
12.08
7.56
8.97
6.16
2.03
6
7.33
7.66
1.43
8.95
13.54
8.6
8.17
2.92
9.03
8.37
6.53
6.59
6.85
7.99
7.35
12.24
9.01
12.49
10.14
13.51
2.97
6.75
7.55
2.32
12.77
12.37
2.01
12.67
9.38
12.44
12.61
4.06
5.85
9.24
7.72
