RT Exp.
3.83
5.1
3.55
4.06
3.85
2.11
2.39
2.6
2.74
2.01
2.52
2.6
2.56
2.66
3.1
3.45
3.52
3.34
2.65
3.82
2.75
2.25
3.89
3.84
2.07
2.29
2.11
2.07
2.52
3.55
6.34
6.68
6.83
6.13
7.07
6.74
6.81
7.19
6.48
6.9
6.65
6.29
6.35
6.42
6.15
6.01
