RT Exp.
1.67
1.88
2.77
3.2
3.69
5.9
7.01
2.26
3.8
1.88
2.03
1.5
1.82
2.92
1.59
3.07
4.83
1.91
8.41
9.12
8.51
9.01
9.54
13.81
12.86
12.08
12.65
12.49
12.47
12.37
12.7
12.64
12.55
13.01
12.77
13.51
13.34
12.98
12.24
12.61
12.23
12.42
11.86
13.4
13.82
13.5
12.9
13.87
12.24
12.68
12.68
12.34
12.53
12.5
12.71
11.76
12.67
13.82
12.06
12.51
12.61
12.14
12.33
11.96
12.75
12.38
12.7
12.33
13.06
11.43
13.1
13.54
12.37
13.5
11.86
12.78
13.3
7.33
5.99
7.09
7.17
6.9
7.47
6.81
7.9
7.22
6.55
7.29
9.67
9.03
7.56
6.85
6.25
6.51
6.96
8.02
7.44
8.17
7.79
9.1
8.12
7.8
8.3
7.57
7.55
7.72
6.53
9.68
8.95
5.67
6.46
7.65
6.97
8.33
7.66
6
6.55
7.37
8.21
8.19
8.69
6.91
6.29
8.07
7.95
8.39
7.57
9.5
7.47
7.13
8.72
7.46
9.49
8.91
7.99
8.33
10.14
8.12
7.42
7.35
7.31
7.95
7.28
8.11
7.68
1.27
1.49
1.86
1.55
2.01
2.32
2.97
1.56
1.97
2.1
7.72
8.67
7.59
7.09
7.25
7.07
6.72
6.5
8.61
8.68
9.23
9.32
10
10.63
6.72
8.13
7.84
7.56
8.34
8.67
9.44
8.41
6.75
8.41
8.15
8.35
8.13
8.37
7.44
7.43
6.91
7.67
8.97
8.5
8.3
9.11
8.08
7.36
8.12
7.49
8.6
6.89
9.01
8.46
8.07
8.65
9.7
9.17
7.6
2.31
1.79
1.62
1.54
4.06
2.05
2.62
6.33
6.59
8.42
8.09
7.31
6.15
6.16
5.56
6.48
7.34
6.54
4.32
6.42
6.15
7.06
6.81
5.53
5.8
5.31
5.99
6.21
1.43
1.72
1.26
5.91
5.95
5.42
6.09
5.96
4.89
7.19
4.95
6.9
6.67
6.87
6.56
5.31
6.53
7.14
5.44
11.16
11.65
11.52
11.31
7.22
6.73
7.58
9.24
9.96
11.21
10.57
7.99
8.62
9.47
10.08
7.83
10.14
10.14
10.75
7.55
6.74
9.41
9.35
9.91
7.5
5.85
6.8
7.76
8.66
8.67
9.38
5.98
6.83
12.44
12.41
