Rt
2.05
1.2
1.28
1.37
1.65
1.81
2.33
2.68
3
3.58
4.64
5.2
5.77
5.72
6.24
1.74
2.19
3.68
1.84
1.6
1.96
2.14
1.630
2
1.46
1.6
1.93
1.46
2.28
1.75
2.5
3.89
5.36
2.83
1.54
2.7
2.28
2.99
4.69
3.4
1.65
1.6
1.84
8.86 
8.41 
7.66 
8.55 
8.17 
8.35 
8.17 
7.36 
12.88 
11.81 
12.47 
13.30 
12.05 
13.88 
12.401721
12.05 
12.15 
13.08 
13.12 
11.87 
12.61 
12.90 
12.72 
12.392425
12.18 
13.10 
11.83 
12.38 
12.06 
12.37 
12.01 
12.56 
12.67 
11.67 
12.19 
12.22 
12.31 
11.74 
11.35 
11.78 
11.52 
12.42 
11.71 
13.12 
11.27 
11.45 
11.638167
11.215855
11.53 
11.05 
11.28 
11.99 
11.86 
11.60 
12.07 
11.81 
12.26 
11.91 
11.89 
11.56 
7.33 
5.99 
5.89 
5.62 
7.21 
6.46 
6.94 
7.32 
6.67 
7.68 
7.24 
6.97 
6.96 
6.46 
6.20 
8.97 
7.47 
6.78 
6.60 
5.95 
6.08 
6.19 
5.56 
6.98 
8.21 
8.36 
7.82 
9.01 
8.38 
8.05 
6.96 
7.691612
7.14 
8.33 
6.95 
7.69 
7.51 
10.50 
7.32 
6.74 
6.38 
5.94 
9.593444
8.93 
8.51 
8.51 
7.90 
5.97 
6.39 
6.07 
7.87 
7.64 
5.62 
7.27 
5.72 
7.35 
7.59 
6.61 
8.63 
7.17 
5.60 
8.15 
8.76 
7.63 
7.51 
7.14 
6.92 
7.10 
6.24 
8.18 
7.54 
7.40 
7.18 
7.32 
8.72 
8.25 
8.19 
8.015169
8.25 
8.73 
8.999977
8.00 
7.35 
7.23 
8.13 
7.41 
7.86 
7.146139
7.01 
7.88 
7.20 
7.01 
7.59 
6.66 
7.84 
7.59 
8.24 
1.70 
1.46 
1.56638
1.78 
1.53 
1.87 
2.08 
1.514262
1.43 
1.47 
2.58 
2.93 
2.333068
1.500952
1.41 
3.92 
1.53 
4.94 
1.81 
1.89 
2.06 
1.94 
1.69 
3.06 
1.61 
3.88 
7.70 
8.49 
6.369686
7.02 
7.04 
7.90 
7.96 
7.26 
7.57 
6.65 
6.98 
6.65 
6.497678
7.55 
7.85 
7.47 
6.41 
7.16 
8.14 
7.12 
6.41 
6.33 
7.28 
6.90 
6.85 
7.56 
7.26 
8.41 
8.11 
6.91 
7.78 
6.82 
7.99 
8.47 
8.59 
7.726599
8.76 
9.70 
9.13 
9.09 
8.82 
7.40 
7.53 
8.18 
2.35 
1.74 
1.85 
1.58 
1.61 
1.48 
1.44 
1.65724
1.76 
2.00 
2.60 
5.98 
6.39 
7.37 
7.86 
7.54 
6.76 
5.21 
5.90 
5.62 
6.20 
4.95 
5.75 
6.54 
5.38 
5.52 
6.38 
5.53 
4.69 
5.39 
5.20 
5.22 
5.81 
7.44 
7.19 
7.52 
9.17 
9.91 
9.89 
7.95 
9.38 
10.05 
7.52 
4.63 
6.82 
9.14 
6.81 
7.73 
7.92 
7.61 
8.49 
10.5
